Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,Ticker
WILLIAMS JEFFREY E,COO,Apr 02 '25,Sale,224.01,"35,493","7,950,691","390,059",Apr 03 06:33 PM,AAPL
COOK TIMOTHY D,Chief Executive Officer,Apr 02 '25,Sale,223.65,"108,136","24,184,658","3,280,295",Apr 03 06:32 PM,AAPL
Adams Katherine L.,"SVP, GC and Secretary",Apr 02 '25,Sale,223.67,"38,822","8,683,252","179,158",Apr 03 06:31 PM,AAPL
KATHERINE L ADAMS,Officer,Apr 02 '25,Proposed Sale,223.19,"38,822","8,664,682",,Apr 02 04:26 PM,AAPL
WILLIAMS JEFFREY E,Officer,Apr 02 '25,Proposed Sale,224.01,"35,493","7,950,684",,Apr 02 04:14 PM,AAPL
COOK TIMOTHY D,Officer,Apr 02 '25,Proposed Sale,223.65,"108,136","24,184,498",,Apr 02 04:12 PM,AAPL
LEVINSON ARTHUR D,Director,Feb 03 '25,Sale,226.35,"1,516","343,147","4,159,576",Feb 04 06:33 PM,AAPL
LEVINSON ARTHUR D,Director,Feb 03 '25,Proposed Sale,226.35,"1,516","343,147",,Feb 03 04:18 PM,AAPL
WILLIAMS JEFFREY E,COO,Dec 16 '24,Sale,249.97,"100,000","24,997,395","389,944",Dec 18 06:30 PM,AAPL
WILLIAMS JEFFREY E,Officer,Dec 16 '24,Proposed Sale,249.97,"100,000","24,997,440",,Dec 16 04:15 PM,AAPL
LEVINSON ARTHUR D,Director,Nov 18 '24,Sale,228.66,"75,000","17,149,500","4,209,576",Nov 19 06:31 PM,AAPL
LEVINSON ARTHUR D,Director,Nov 15 '24,Sale,224.68,"75,000","16,851,000","4,284,576",Nov 19 06:31 PM,AAPL
LEVINSON ARTHUR D,Director,Nov 19 '24,Sale,229.28,"50,000","11,464,000","4,159,576",Nov 19 06:31 PM,AAPL
KONDO CHRIS,Principal Accounting Officer,Nov 18 '24,Sale,228.87,"4,130","945,233","15,419",Nov 19 06:30 PM,AAPL
LEVINSON ARTHUR D,Director,Nov 19 '24,Proposed Sale,229.28,"50,000","11,464,127",,Nov 19 05:04 PM,AAPL
LEVINSON ARTHUR D,Director,Nov 18 '24,Proposed Sale,228.66,"75,000","17,149,334",,Nov 18 04:03 PM,AAPL
LEVINSON ARTHUR D,Director,Nov 15 '24,Proposed Sale,224.68,"75,000","16,850,931",,Nov 15 04:31 PM,AAPL
Maestri Luca,"Senior Vice President, CFO",Oct 04 '24,Sale,226.52,"59,305","13,433,769","107,788",Oct 08 06:30 PM,AAPL
Luca Maestri,Officer,Oct 04 '24,Proposed Sale,225.67,"59,305","13,383,359",,Oct 04 05:04 PM,AAPL
WILLIAMS JEFFREY E,COO,Oct 02 '24,Sale,226.86,"59,730","13,550,148","489,944",Oct 03 06:31 PM,AAPL
Adams Katherine L.,"SVP, GC and Secretary",Oct 02 '24,Sale,226.20,"61,019","13,802,297","187,043",Oct 03 06:30 PM,AAPL
COOK TIMOTHY D,Chief Executive Officer,Oct 02 '24,Sale,224.46,"223,986","50,276,355","3,280,180",Oct 03 06:30 PM,AAPL
O'BRIEN DEIRDRE,Senior Vice President,Oct 02 '24,Sale,226.87,"61,019","13,843,382","136,572",Oct 03 06:30 PM,AAPL
KATHERINE L ADAMS,Officer,Oct 02 '24,Proposed Sale,226.21,"61,019","13,803,108",,Oct 02 04:20 PM,AAPL
WILLIAMS JEFFREY E,Officer,Oct 02 '24,Proposed Sale,225.89,"59,730","13,492,410",,Oct 02 04:17 PM,AAPL
COOK TIMOTHY D,Officer,Oct 02 '24,Proposed Sale,224.46,"223,986","50,276,077",,Oct 02 04:05 PM,AAPL
O'BRIEN DEIRDRE,Officer,Oct 02 '24,Proposed Sale,225.89,"61,019","13,783,581",,Oct 02 04:05 PM,AAPL
KONDO CHRIS,Principal Accounting Officer,Aug 15 '24,Sale,225.00,"8,706","1,958,850","15,419",Aug 19 06:30 PM,AAPL
KONDO CHRIS,Principal Accounting Officer,Aug 09 '24,Sale,216.50,"5,178","1,121,037","24,125",Aug 13 07:02 PM,AAPL
Adams Katherine L.,"SVP, GC and Secretary",Aug 05 '24,Sale,206.44,"100,000","20,643,512","191,543",Aug 07 06:30 PM,AAPL
KATHERINE L ADAMS,Officer,Aug 05 '24,Proposed Sale,206.44,"100,000","20,643,520",,Aug 05 04:32 PM,AAPL
LEVINSON ARTHUR D,Director,May 30 '24,Sale,191.58,"75,000","14,368,500","4,359,576",Jun 03 06:31 PM,AAPL
KONDO CHRIS,Principal Accounting Officer,May 15 '24,Sale,190.40,"4,999","951,785","29,278",May 17 06:30 PM,AAPL
WILLIAMS JEFFREY E,COO,Apr 11 '24,Sale,172.22,"59,162","10,188,880","489,944",Apr 15 06:31 PM,AAPL
Maestri Luca,"Senior Vice President, CFO",Apr 11 '24,Sale,174.12,"53,194","9,261,933","107,788",Apr 15 06:30 PM,AAPL
Numoto Takeshi,"EVP, Chief Marketing Officer",Dec 09 '24,Sale,447.41,"2,500","1,118,530","49,352",Dec 10 06:21 PM,MSFT
Numoto Takeshi,"EVP, Chief Marketing Officer",Dec 04 '24,Sale,437.32,"2,000","874,634","51,852",Dec 05 05:53 PM,MSFT
Numoto Takeshi,"EVP, Chief Marketing Officer",Dec 02 '24,Sale,430.87,"2,500","1,077,182","53,852",Dec 02 06:02 PM,MSFT
Numoto Takeshi,"EVP, Chief Marketing Officer",Nov 27 '24,Sale,423.48,"1,000","423,480","56,511",Dec 02 06:02 PM,MSFT
Numoto Takeshi,"EVP, Chief Marketing Officer",Nov 22 '24,Sale,414.72,"1,000","414,720","57,511",Nov 25 06:09 PM,MSFT
Althoff Judson,"EVP, Chief Commercial Officer",Nov 22 '24,Sale,417.00,"25,000","10,425,000","117,294",Nov 25 06:08 PM,MSFT
Althoff Judson,Officer,Nov 22 '24,Proposed Sale,417.00,"25,000","10,425,000",,Nov 22 05:27 PM,MSFT
Numoto Takeshi,Officer,Nov 22 '24,Proposed Sale,415.49,"10,000","4,154,900",,Nov 22 11:55 AM,MSFT
Young Christopher David,"EVP, Business Development",Nov 12 '24,Sale,423.66,"7,200","3,050,340","103,366",Nov 12 06:17 PM,MSFT
Young Christopher David,Officer,Nov 12 '24,Proposed Sale,423.04,"7,200","3,045,888",,Nov 12 04:41 PM,MSFT
Numoto Takeshi,"EVP, Chief Marketing Officer",Sep 10 '24,Sale,411.04,"2,500","1,027,608","50,000",Sep 11 06:07 PM,MSFT
Hogan Kathleen T,"EVP, Chief Human Resources Off",Sep 10 '24,Sale,411.85,"17,378","7,156,892","150,161",Sep 11 06:07 PM,MSFT
SMITH BRADFORD L,Vice Chair and President,Sep 09 '24,Sale,402.59,"40,000","16,103,553","544,847",Sep 11 06:06 PM,MSFT
Hogan Kathleen T,Officer,Sep 10 '24,Proposed Sale,411.84,"17,378","7,156,892",,Sep 10 02:40 PM,MSFT
Numoto Takeshi,Officer,Sep 10 '24,Proposed Sale,405.72,"7,500","3,042,900",,Sep 10 12:00 PM,MSFT
BRADFORD SMITH,Officer,Sep 09 '24,Proposed Sale,402.59,"40,000","16,103,556",,Sep 09 04:31 PM,MSFT
Hood Amy,"EVP, Chief Financial Officer",Sep 05 '24,Sale,410.55,"38,000","15,600,794","496,369",Sep 06 06:04 PM,MSFT
Nadella Satya,Chief Executive Officer,Sep 04 '24,Sale,408.63,"78,353","32,017,224","864,327",Sep 05 06:05 PM,MSFT
Hood Amy,Officer,Sep 05 '24,Proposed Sale,410.55,"38,000","15,600,795",,Sep 05 01:52 PM,MSFT
SATYA NADELLA,Director,Sep 04 '24,Proposed Sale,409.44,"78,353","32,080,852",,Sep 04 04:20 PM,MSFT
Nadella Satya,Chief Executive Officer,Aug 23 '24,Sale,417.41,"14,398","6,009,898",0,Aug 26 06:01 PM,MSFT
ZNEQ LLC,Officer,Aug 23 '24,Proposed Sale,417.41,"14,398","6,009,898",,Aug 23 04:27 PM,MSFT
Numoto Takeshi,"EVP, Chief Marketing Officer",May 31 '24,Sale,416.60,322,"134,145","47,255",Jun 04 06:00 PM,MSFT
Numoto Takeshi,"EVP, Chief Marketing Officer",Jun 03 '24,Sale,415.53,244,"101,389","47,011",Jun 04 06:00 PM,MSFT
Althoff Judson,"EVP, Chief Commercial Officer",May 23 '24,Sale,425.68,"25,000","10,641,950","104,949",May 24 06:00 PM,MSFT
Herrington Douglas J,CEO Worldwide Amazon Stores,Apr 01 '25,Sale,187.99,"2,500","469,975","509,474",Apr 03 05:16 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Mar 03 '25,Sale,213.17,"2,500","532,925","511,974",Mar 05 04:38 PM,AMZN
DOUGLAS HERRINGTON,Officer,Mar 03 '25,Proposed Sale,212.28,"21,627","4,590,980",,Mar 03 04:21 PM,AMZN
Jassy Andrew R,President and CEO,Feb 21 '25,Option Exercise,0.00,"51,960",0,"2,139,670",Feb 25 06:12 PM,AMZN
Jassy Andrew R,President and CEO,Feb 21 '25,Sale,220.65,"20,784","4,586,006","2,118,886",Feb 25 06:12 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Feb 21 '25,Option Exercise,0.00,"15,260",0,"520,578",Feb 25 06:04 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Feb 21 '25,Sale,222.47,"6,104","1,357,967","514,474",Feb 25 06:04 PM,AMZN
Olsavsky Brian T,Senior Vice President and CFO,Feb 21 '25,Option Exercise,0.00,"14,620",0,"63,620",Feb 25 05:57 PM,AMZN
Olsavsky Brian T,Senior Vice President and CFO,Feb 21 '25,Sale,223.14,"14,620","3,262,307","49,000",Feb 25 05:57 PM,AMZN
Zapolsky David,Senior Vice President,Feb 21 '25,Option Exercise,0.00,"14,620",0,"75,010",Feb 25 05:49 PM,AMZN
Zapolsky David,Senior Vice President,Feb 24 '25,Sale,217.50,"19,212","4,178,610","49,950",Feb 25 05:49 PM,AMZN
Zapolsky David,Senior Vice President,Feb 21 '25,Sale,220.72,"5,848","1,290,754","69,162",Feb 25 05:49 PM,AMZN
Reynolds Shelley,Vice President,Feb 21 '25,Option Exercise,0.00,"5,471",0,"128,613",Feb 25 05:41 PM,AMZN
Reynolds Shelley,Vice President,Feb 21 '25,Sale,222.47,"8,833","1,965,107","119,780",Feb 25 05:41 PM,AMZN
Garman Matthew S,CEO Amazon Web Services,Feb 21 '25,Sale,220.69,"15,240","3,363,292",0,Feb 25 05:33 PM,AMZN
Zapolsky David,Officer,Feb 24 '25,Proposed Sale,217.50,"19,212","4,178,610",,Feb 24 10:25 AM,AMZN
SHELLEY REYNOLDS,Officer,Feb 21 '25,Proposed Sale,222.88,"8,833","1,968,699",,Feb 21 04:22 PM,AMZN
Olsavsky Brian T,Officer,Feb 21 '25,Proposed Sale,223.14,"14,620","3,262,307",,Feb 21 01:16 PM,AMZN
Jassy Andrew R,Officer,Feb 21 '25,Proposed Sale,220.65,"20,784","4,586,006",,Feb 21 12:43 PM,AMZN
Garman Matthew S,Officer,Feb 21 '25,Proposed Sale,220.69,"15,240","3,363,292",,Feb 21 12:38 PM,AMZN
Zapolsky David,Officer,Feb 21 '25,Proposed Sale,220.72,"5,848","1,290,754",,Feb 21 12:20 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Feb 15 '25,Option Exercise,0.00,"13,752",0,"510,819",Feb 19 04:46 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Feb 18 '25,Sale,228.44,"5,501","1,256,672","505,318",Feb 19 04:46 PM,AMZN
GORELICK JAMIE S,Director,Feb 15 '25,Option Exercise,0.00,"2,677",0,"46,061",Feb 19 04:38 PM,AMZN
WEEKS WENDELL P,Director,Feb 15 '25,Option Exercise,0.00,"1,900",0,"44,400",Feb 19 04:31 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Feb 12 '25,Sale,230.27,"27,500","6,332,368","497,067",Feb 14 04:33 PM,AMZN
DOUGLAS HERRINGTON,Officer,Feb 12 '25,Proposed Sale,232.76,"39,105","9,102,080",,Feb 12 04:17 PM,AMZN
RUBINSTEIN JONATHAN,Director,Dec 09 '24,Sale,229.85,"4,351","1,000,077","88,203",Dec 11 05:10 PM,AMZN
RUBINSTEIN JONATHAN,Director,Dec 09 '24,Proposed Sale,229.85,"4,351","1,000,077",,Dec 09 12:03 PM,AMZN
RUBINSTEIN JONATHAN,Director,Dec 04 '24,Sale,219.85,"4,549","1,000,098","92,554",Dec 06 04:53 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Dec 02 '24,Sale,210.00,"3,500","735,000","524,567",Dec 04 05:41 PM,AMZN
RUBINSTEIN JONATHAN,Director,Dec 04 '24,Proposed Sale,219.85,"4,549","1,000,098",,Dec 04 11:48 AM,AMZN
Jassy Andrew R,President and CEO,Nov 21 '24,Option Exercise,0.00,"51,960",0,"2,108,494",Nov 25 04:48 PM,AMZN
Jassy Andrew R,President and CEO,Nov 21 '24,Sale,200.17,"20,784","4,160,373","2,087,710",Nov 25 04:48 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Nov 21 '24,Option Exercise,0.00,"15,260",0,"534,171",Nov 25 04:39 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Nov 21 '24,Sale,200.19,"6,104","1,221,989","528,067",Nov 25 04:39 PM,AMZN
Olsavsky Brian T,Senior Vice President and CFO,Nov 21 '24,Option Exercise,0.00,"14,600",0,"63,600",Nov 25 04:32 PM,AMZN
Olsavsky Brian T,Senior Vice President and CFO,Nov 21 '24,Sale,202.88,"14,600","2,962,048","49,000",Nov 25 04:32 PM,AMZN
Zapolsky David,Senior Vice President,Nov 21 '24,Option Exercise,0.00,"14,600",0,"72,070",Nov 25 04:26 PM,AMZN
Zapolsky David,Senior Vice President,Nov 21 '24,Sale,200.23,"11,680","2,338,661","60,390",Nov 25 04:26 PM,AMZN
Reynolds Shelley,Vice President,Nov 21 '24,Option Exercise,0.00,"5,472",0,"126,933",Nov 25 04:18 PM,AMZN
Reynolds Shelley,Vice President,Nov 21 '24,Sale,200.23,"3,791","759,090","123,142",Nov 25 04:18 PM,AMZN
Garman Matthew S,CEO Amazon Web Services,Nov 21 '24,Sale,200.19,"15,260","3,054,828",0,Nov 25 04:09 PM,AMZN
BEZOS EARTH FUND FOUNDATION,Nonprofit founded by Jeffrey P,Nov 21 '24,Proposed Sale,198.81,"70,806","14,076,870",,Nov 21 04:29 PM,AMZN
SHELLEY REYNOLDS,Officer,Nov 21 '24,Proposed Sale,202.88,"2,700","547,776",,Nov 21 04:21 PM,AMZN
SHELLEY L REYNOLDS,Officer,Nov 21 '24,Proposed Sale,202.88,"1,091","221,342",,Nov 21 04:21 PM,AMZN
Zapolsky David,Officer,Nov 21 '24,Proposed Sale,200.23,"11,680","2,338,661",,Nov 21 03:33 PM,AMZN
Garman Matthew S,Officer,Nov 21 '24,Proposed Sale,200.19,"15,260","3,054,828",,Nov 21 03:12 PM,AMZN
Jassy Andrew R,Officer,Nov 21 '24,Proposed Sale,200.17,"20,784","4,160,373",,Nov 21 02:03 PM,AMZN
Olsavsky Brian T,Officer,Nov 21 '24,Proposed Sale,202.88,"14,600","2,962,048",,Nov 21 12:55 PM,AMZN
SMITH BRAD D,Director,Nov 15 '24,Option Exercise,0.00,"2,605",0,"15,005",Nov 19 07:35 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Nov 15 '24,Option Exercise,0.00,"13,753",0,"524,413",Nov 19 07:21 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Nov 15 '24,Sale,205.81,"5,502","1,132,355","518,911",Nov 19 07:21 PM,AMZN
STONESIFER PATRICIA Q,Director,Nov 15 '24,Option Exercise,0.00,"2,473",0,"51,166",Nov 19 07:04 PM,AMZN
RUBINSTEIN JONATHAN,Director,Nov 15 '24,Option Exercise,0.00,"2,473",0,"97,103",Nov 19 06:58 PM,AMZN
Huttenlocher Daniel P,Director,Nov 15 '24,Option Exercise,0.00,"2,473",0,"26,149",Nov 19 06:51 PM,AMZN
Huttenlocher Daniel P,Director,Nov 19 '24,Sale,199.06,"1,237","246,237","24,912",Nov 19 06:51 PM,AMZN
Alexander Keith Brian,Director,Nov 15 '24,Option Exercise,0.00,"2,605",0,"6,465",Nov 19 06:45 PM,AMZN
COOPER EDITH W,Director,Nov 15 '24,Option Exercise,0.00,"1,900",0,"6,180",Nov 19 06:40 PM,AMZN
Huttenlocher Daniel P,Director,Nov 19 '24,Proposed Sale,199.06,"1,237","246,237",,Nov 19 11:10 AM,AMZN
DOUGLAS HERRINGTON,Officer,Nov 15 '24,Proposed Sale,211.48,"15,106","3,194,617",,Nov 15 04:42 PM,AMZN
BEZOS JEFFREY P,Executive Chair,Nov 12 '24,Sale,207.67,"2,996,362","622,257,321","911,424,252",Nov 14 04:27 PM,AMZN
BEZOS JEFFREY P,Executive Chair,Nov 13 '24,Sale,211.15,"304,358","64,264,092","911,119,894",Nov 14 04:27 PM,AMZN
RUBINSTEIN JONATHAN,Director,Nov 07 '24,Sale,209.85,"4,766","1,000,145","94,630",Nov 12 04:30 PM,AMZN
BEZOS JEFFREY P,Executive Chair,Nov 08 '24,Sale,208.85,"2,996,362","625,783,425","917,416,976",Nov 12 04:24 PM,AMZN
BEZOS JEFFREY P,Executive Chair,Nov 11 '24,Sale,206.75,"2,996,362","619,496,520","914,420,614",Nov 12 04:24 PM,AMZN
BEZOS JEFFREY P,Executive Chair,Nov 07 '24,Sale,209.93,"2,996,362","629,020,209","920,413,338",Nov 08 04:47 PM,AMZN
BEZOS JEFFREY P,Executive Chair,Nov 06 '24,Sale,201.03,"2,996,362","602,361,421","923,409,700",Nov 08 04:47 PM,AMZN
RUBINSTEIN JONATHAN,Director,Nov 07 '24,Proposed Sale,209.85,"4,766","1,000,145",,Nov 07 04:24 PM,AMZN
Alexander Keith Brian,Director,Nov 04 '24,Sale,196.37,900,"176,733","3,860",Nov 06 04:51 PM,AMZN
RUBINSTEIN JONATHAN,Director,Nov 01 '24,Sale,199.85,"5,004","1,000,049","99,396",Nov 05 04:44 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Nov 01 '24,Sale,198.96,"3,500","696,360","510,660",Nov 05 04:39 PM,AMZN
BEZOS JEFFREY P,Executive Chair,Nov 01 '24,Sale,200.07,"1,068,452","213,760,597","926,406,062",Nov 05 04:31 PM,AMZN
Alexander Keith Brian,Director,Nov 04 '24,Proposed Sale,196.37,900,"176,733",,Nov 04 10:52 AM,AMZN
Jeffrey P. Bezos,Director,Nov 01 '24,Proposed Sale,186.40,"16,354,620","3,048,501,168",,Nov 01 06:04 PM,AMZN
RUBINSTEIN JONATHAN,Director,Nov 01 '24,Proposed Sale,199.85,"5,004","1,000,049",,Nov 01 11:30 AM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Oct 01 '24,Sale,184.80,"3,500","646,800","514,160",Oct 03 04:19 PM,AMZN
Zapolsky David,Senior Vice President,Sep 24 '24,Sale,195.00,"2,190","427,050","62,420",Sep 26 04:40 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Sep 03 '24,Sale,177.87,"3,500","622,545","517,660",Sep 05 04:20 PM,AMZN
Jassy Andrew R,President and CEO,Aug 21 '24,Option Exercise,0.00,"51,960",0,"2,077,318",Aug 23 05:18 PM,AMZN
Jassy Andrew R,President and CEO,Aug 21 '24,Sale,180.77,"20,784","3,757,109","2,056,534",Aug 23 05:18 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Aug 21 '24,Option Exercise,0.00,"15,260",0,"527,264",Aug 23 05:09 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Aug 21 '24,Sale,181.20,"6,104","1,106,048","521,160",Aug 23 05:09 PM,AMZN
Garman Matthew S,CEO Amazon Web Services,Aug 21 '24,Sale,180.76,"15,260","2,758,409",0,Aug 23 05:02 PM,AMZN
Olsavsky Brian T,Senior Vice President and CFO,Aug 21 '24,Option Exercise,0.00,"14,600",0,"63,600",Aug 23 04:55 PM,AMZN
Olsavsky Brian T,Senior Vice President and CFO,Aug 21 '24,Sale,180.00,"14,600","2,628,000","49,000",Aug 23 04:55 PM,AMZN
Zapolsky David,Senior Vice President,Aug 21 '24,Option Exercise,0.00,"14,600",0,"74,100",Aug 23 04:49 PM,AMZN
Zapolsky David,Senior Vice President,Aug 21 '24,Sale,180.88,"9,490","1,716,563","64,610",Aug 23 04:49 PM,AMZN
Reynolds Shelley,Vice President,Aug 21 '24,Option Exercise,0.00,"5,472",0,"125,252",Aug 23 04:42 PM,AMZN
Reynolds Shelley,Vice President,Aug 21 '24,Sale,181.04,"3,791","686,331","121,461",Aug 23 04:42 PM,AMZN
DOUGLAS HERRINGTON,Officer,Aug 21 '24,Proposed Sale,178.88,"16,604","2,970,124",,Aug 21 04:25 PM,AMZN
SHELLEY REYNOLDS,Officer,Aug 21 '24,Proposed Sale,178.88,"2,700","482,976",,Aug 21 04:25 PM,AMZN
SHELLEY L REYNOLDS,Officer,Aug 21 '24,Proposed Sale,178.88,"1,091","195,158",,Aug 21 04:25 PM,AMZN
Jassy Andrew R,Officer,Aug 21 '24,Proposed Sale,180.77,"20,784","3,757,109",,Aug 21 03:51 PM,AMZN
Garman Matthew S,Officer,Aug 21 '24,Proposed Sale,180.76,"15,260","2,758,409",,Aug 21 03:45 PM,AMZN
Olsavsky Brian T,Officer,Aug 21 '24,Proposed Sale,179.99,"14,600","2,627,927",,Aug 21 10:06 AM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Aug 15 '24,Option Exercise,0.00,"13,753",0,"517,506",Aug 19 04:42 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Aug 15 '24,Sale,175.29,"5,502","964,456","512,004",Aug 19 04:42 PM,AMZN
DOUGLAS HERRINGTON,Officer,Aug 15 '24,Proposed Sale,170.10,"5,502","935,890",,Aug 15 04:31 PM,AMZN
Herrington Douglas J,CEO Worldwide Amazon Stores,Aug 01 '24,Sale,189.25,"3,500","662,375","503,753",Aug 05 04:30 PM,AMZN
MURDOCH JAMES R,Director,Mar 10 '25,Option Exercise,24.43,"531,787","12,992,693","531,787",Mar 12 07:12 PM,TSLA
MURDOCH JAMES R,Director,Mar 10 '25,Sale,240.79,"54,776","13,189,403","477,011",Mar 12 07:12 PM,TSLA
